Unnamed: 0,authors,title,journal,pmid,year,accession,Organisms,RecordYears,Hosts,Countries,IsolateYears,CDS,SeqLens,AlignLens,PcntIDs
184,"Bester P., Burt F., Goedhals D., Paweska J., Swanepoel R.","Direct Submission, Next-generation sequencing of southern African Crimean-Congo haemorrhagic fever virus isolates reveals a high frequency of M segment reassortment","Medical Microbiology and Virology, Bloemfontein, DF Malherbe Drive, Epidemiol. Infect. (2014) In press, Francois Retief Building, Free State 9300, National Health Laboratory Services/University of the Free State, South Africa",24786748.0,2014,"KJ682795.1, KJ682796.1, KJ682797.1, KJ682798.1, KJ682799.1, KJ682800.1, KJ682801.1, KJ682802.1, KJ682803.1, KJ682804.1, KJ682805.1, KJ682806.1, KJ682807.1, KJ682808.1, KJ682809.1, KJ682810.1, KJ682811.1, KJ682812.1, KJ682813.1, KJ682814.1, KJ682815.1, KJ682816.1, KJ682817.1, KJ682818.1, KJ682819.1, KJ682820.1, KJ682821.1, KJ682822.1, KJ682823.1, KJ682824.1",Orthonairovirus haemorrhagiae (30),06-J (30),Homo sapiens (30),"South Africa (27), Namibia (3)","1988 (9), 1990 (6), 1987 (6), 2008 (3), 1989 (3), 1985 (3)","nucleoprotein (10), glycoprotein (10), L protein (10)","1000-3000 (10), 5000-10000 (10), >10000 (10)","100-500 (10), 1000-3000 (10), 3000-5000 (10)","75%-90% (10), 95%-100% (20)"
185,"Arick M., Grover C., Hu G., Miller E., Peterson D., Udall J., Wendel J., Yuan D.","Direct Submission, The Gossypium anomalum genome as a resource for cotton improvement and evolutionary analysis of hybrid incompatibility","Institute for Genomics, 650 Stone Blvd., Biocomputing & Biotechnology, MS 39759, Mississippi State, Mississippi State University, USA, bioRxiv (2021) In press",,2021,"CM033487.1, JAHUZN010000004.1",Gossypium anomalum (2),"09-A (1), 05-A (1)",nan (2),USA: Utah (2),nan (2),hypothetical protein (2),73951617 (2),23 (2),25%-50% (2)
186,"Deng F., Guo R., Liu D., Liu J., Shen S., Shi J., Su Z., Wang Q., Yang J., Zhang Y.","China, Direct Submission, Identification and phylogenetic analysis of the latest isolated Crimean-Congohemorrhagic fever virus in Xinjiang","Wuhan Institute of Virology, China, China Academy of Science, Hubei 430071, Unpublished, Wuhan, Xiaohongshan District No. 44",,2016,"KY354080.1, KY354081.1, KY354082.1",Orthonairovirus haemorrhagiae (3),12-M (3),tick (3),China (3),May- (3),"RNA-dependent RNA polymerase (1), glycoprotein precursor (1), nucleoprotein (1)","12156 (1), 5379 (1), 1673 (1)","3945 (1), 1679 (1), 482 (1)","75%-90% (1), 95%-100% (2)"
187,"Feldmann F., Feldmann H., Furuta Y., Gowen B., Haddock E., Hanley P., Hawman D., Komeno T., Meade-white K., Rosenke K., Williamson B.","Direct Submission, Favipiravir (T-705) but not ribavirin is effective against two distinct strains of Crimean-Congo hemorrhagic fever virus in mice","Laboratory of Virology, 18-26 (2018), 903 S 4th St, Antiviral Res. 157, Hamilton, MT 59840, Rocky Mountain Labs NIH/NIAD, USA",29936152.0,2018,"MH483984.1, MH483985.1, MH483986.1, MH483987.1, MH483988.1, MH483989.1",Orthonairovirus haemorrhagiae (6),26-N (6),Homo sapiens; SW13 cell line (6),USA (6),Jun- (6),"RNA-dependent RNA polymerase (2), glycoprotein precursor (2), nucleoprotein (2)","1000-3000 (2), 5000-10000 (2), >10000 (2)","3945 (2), 482 (2), 1685 (1), 1688 (1)","75%-90% (1), 95%-100% (5)"
188,"Babian K., Feldmann F., Feldmann H., Hawman D., Leventhal S., Martens C., Meade-white K., Okumura A., Scott D., Smith B., Sturdevant D.","Direct Submission, Immunocompetent Mouse Model for Crimean-Congo Hemorrhagic Fever Virus","Laboratory of Virology, 903 S 4th St, Hamilton, MT 59840, Rocky Mountain Labs NIH/NIAD, USA, bioRxiv (2021) In press",,"2020, 2021","MW058028.1, MW058029.1, MW058030.1",Orthonairovirus haemorrhagiae (3),26-F (3),mouse (3),USA (3),30-S (3),"nucleoprotein (1), glycoprotein precursor (1), RNA polymerase (1)","1623 (1), 5339 (1), 12087 (1)","482 (1), 1688 (1), 3945 (1)",95%-100% (3)
189,"Honig J., Nichol S., Osborne J.","Crimean-Congo hemorrhagic fever virus genome L RNA segment and encoded protein, Direct Submission","Special Pathogens Branch, 1600 Clifton Rd. NE, 29-35 (2004), Atlanta, Centers for Disease Control and Prevention, Division of Viral and Rickettsial Diseases, GA 30333, USA, Virology 321 (1)",15033562.0,"2003, 2004, 2005",AY389508.2,Orthonairovirus haemorrhagiae (1),25-F (1),nan (1),nan (1),nan (1),putative RNA polymerase (1),12160 (1),3945 (1),95%-100% (1)
190,"Honig J., Nichol S., Osborne J.","Direct Submission, The high genetic variation of viruses of the genus Nairovirus reflects the diversity of their predominant tick hosts","Special Pathogens Branch, 1600 Clifton Rd. NE, Atlanta, Centers for Disease Control and Prevention, Division of Viral and Rickettsial Diseases, GA 30333, MS G-14, USA, Unpublished",,2003,AY357718.1,Orthonairovirus haemorrhagiae (1),26-J (1),nan (1),nan (1),nan (1),RNA-dependent RNA polymerase (1),442 (1),147 (1),95%-100% (1)
191,"Bayin C., Gan L., Guo Q., Hao Y., He W., Hu E., Hu Z., Li C., Li Y., Ma Y., Mi X., Song R., Zhai X., Zhang W.","China (Acari: Ixodidae), Direct Submission, Distribution prediction of Hyalomma asiaticum and H. anatolicum, in Xinjiang, the disease vector of Crimean-Congo hemorrhagic fever virus","College of Veterinary Medicine, 311 # Nongda east road, China, Unpublished, Urumqi, Xinjiang 830052, Xinjiang Agricultural University",,2020,"MW221942.1, MW221943.1, MW221944.1, MW221945.1, MW221946.1","Hyalomma asiaticum (4), Hyalomma anatolicum (1)",12-N (5),nan (5),nan (5),nan (5),cytochrome c oxidase subunit I (5),"620 (2), 578 (1), 617 (1), 621 (1)","53 (4), 25 (1)",25%-50% (5)
192,"Bergeron E., Drosten C., Hua B., Junglen S., Kopp A., Marklewitz M., Nichol S., Ohlendorf V., Scholte F., Spiropoulou C.","A single mutation in Crimean-Congo hemorrhagic fever virus discovered in ticks impairs infectivity in human cells, Direct Submission","Charite Universitatsmedizin Berlin, Berlin 10117, Chariteplatz 1, Elife 9 (2020) In press, Germany, Institute of Virology",33084573.0,"2018, 2020","MK299338.1, MK299339.1, MK299340.1, MK299341.1, MK299342.1, MK299343.1, MK299344.1, MK299345.1, MK299346.1",Orthonairovirus haemorrhagiae (9),04-N (9),Rhipicephalus bursa (9),Bulgaria (9),2012 (9),"RNA-dependent RNA polymerase (3), glycoprotein precursor (3), nucleocapsid protein (3)","1680 (3), 12129 (2), 5364 (2), 12144 (1), 5412 (1)","3945 (3), 1698 (3), 482 (3)","50%-75% (3), 90%-95% (6)"
193,"Azadmanjiri S., Azizizadeh S., Baniasadi V., Fazlalipour M., Fereydouni Z., Ghalejoogh M., Hosseini M., Jalai T., Khakifirouz S., Mohammadi T., Pouriayevali M., Salehi-vaziri M., Tavakolirad M.","Crimean-ongo haemorrhagic fever among healthcare workers in Iran 2000-2018, Direct Submission, a report of National Reference Laboratory","Arboviruses and Viral Hemorrhagic Fevers Department (National Ref. Lab), Iran, No. 69, Pasteur Ave., Pasteur Institute of Iran, Tehran 1316943551, Unpublished",,2018,"MH697878.1, MH697879.1, MH697880.1, MH697881.1, MH697882.1, MH697883.1, MH697884.1, MH697885.1, MH697886.1, MH697887.1, MH697888.1",Orthonairovirus haemorrhagiae (11),13-J (11),Homo sapiens (11),Iran (11),nan (11),nucleoprotein (11),"100-500 (3), 500-1000 (8)",100-500 (11),"90%-95% (7), 95%-100% (4)"
194,"Arikawa J., Dautu G., Eto Y., Fukushi S., Furumoto H., Hang'ombe B., Kabilika S., Kajihara M., Monze M., Mori-kajihara A., Morikawa S., Mukonka V., Mweene A., Nakao R., Orba Y., Qiu Y., Saasa N., Saijo M., Sawa H., Simulundu E., Simuunza M., Takada A., Yoshimatsu K.","Direct Submission, Serologic and molecular evidence for circulation of Crimean-Congo hemorrhagic fever virus in ticks and cattle in Zambia","Contact:Masahiro Kajihara Hokkaido University, Hokkaido 001-0020, Japan URL :http://www.czc.hokudai.ac.jp/en/index.html, Kita-ku, PLoS Negl Trop Dis 15 (6), Research Center for Zoonosis Control; Kita 20 Nishi 10, Sapporo, e0009452 (2021)",34061841.0,"2020, 2021","LC534898.1, LC534899.1, LC534900.1, LC534901.1, LC534902.1, LC534903.1, LC534904.1, LC534905.1, LC534906.1, LC534907.1, LC534908.1, LC534909.1, LC534910.1",Orthonairovirus haemorrhagiae (13),17-J (13),"Hyalomma truncatum (12), Hyalomma marginatum (1)",Zambia (13),"2015 (8), 2016 (5)","nucleoprotein (10), glycoprotein precursor (1), Glycoprotein precursor (1), Nucleoprotein (1)","220 (10), 514 (1), 535 (1), 1293 (1)","73 (10), 171 (1), 156 (1), 431 (1)","25%-50% (1), 75%-90% (1), 90%-95% (10), 95%-100% (1)"
195,"Adams P., Christova I., Kalvatchev N., Weaver S.","Direct Submission, Genetic analysis of Crimean-Congo hemorrhagic fever virus isolated recently from different regions of Bulgaria","Microbiology, 26 Yanko Sakazov blvd., Bulgaria, National Center of Infectious and Parasitic Diseases, Sofia 1504, Unpublished",,2011,"JF807428.1, JF807429.1, JF807430.1, JF807431.1, JF807432.1, JF807433.1, JF807434.1, JF807435.1",Orthonairovirus haemorrhagiae (8),30-S (8),Homo sapiens (8),Bulgaria (8),"2009 (3), 2005 (2), 2006 (2), 1981 (1)","glycoprotein precursor (3), nucleocapsid protein (2), L protein (2), structural capsid protein (1)","100-500 (1), 500-1000 (5), 1000-3000 (2)","30-100 (1), 100-500 (7)",95%-100% (8)
196,"Bhatia S., Gavade V., Kamboj A., Kulkarni D., Mishra A., Pateriya A., Rajukumar K., Ranaware P., Raut A., Senthilkumar D.","Direct Submission, Novel molecular beacon probe-based real-time rt-PCR assay for diagnosis of crimean-congo hemorrhagic Fever encountered in India, Phylogenetic analysis of Indian Crimean-Congo hemorrhagic fever virus","Veterinary Biotechnology, 496219 (2014), Anand Nagar, Bhopal, Biomed Res Int 2014, Hathaikheda, High Security Animal Disease Laboratory (HSADL), India, Indian Veterinary Research Institute (IVRI), Madhya Pradesh 462021, Unpublished",24877102.0,"2012, 2014",JX051650.1,Orthonairovirus haemorrhagiae (1),02-J (1),calf (1),India (1),24-M (1),nucleoprotein (1),1673 (1),482 (1),95%-100% (1)
197,"Dilcher M., Karlberg H., Lindegren G., Mardani M., Mirazimi A., Mousavi-jazi M., Sharifi-mood B., Weidmann M.","Direct Submission, Investigation of an outbreak of Crimean-Congo hemorrhagic fever virus","Department of Virology, Germany, Goettingen, Kreuzbergring 57, Lower Saxony D-37075, University Medical Center Goettingen, Unpublished",,2013,"KC867272.1, KC867273.1, KC867274.1",Orthonairovirus haemorrhagiae (3),04-M (3),nan (3),Iran (3),2007 (3),"nucleoprotein (1), glycoprotein precursor (1), RNA-dependent RNA polymerase (1)","1673 (1), 5366 (1), 12167 (1)","482 (1), 1685 (1), 3945 (1)","75%-90% (1), 95%-100% (2)"
198,"Akdogan E., Caylan R., Comer J., Eren N., Erickson B., Karti S., Koksal I., Korten V., Ksiazek T., Nichol S., Odabasi Z., Ovali E., Rollin P., Sonmenz M., Vincent M., Yilmaz M.","Crimean-Congo Hemorrhagic Fever in Turkey, Direct Submission","Special Pathogens Branch, 1600 Clifton Road, Atlanta, Centers for Disease Control, GA 30333, USA, Unpublished",,2003,"AY508484.1, AY508485.1",Orthonairovirus haemorrhagiae (2),26-J (2),nan (2),Turkey (2),nan (2),nucleoprotein (2),483 (2),161 (2),95%-100% (2)
199,"Kautman M., Papa A., Siroky P., Tiar G.","AP92-like Crimean-Congo Hemorrhagic Fever Virus in Hyalomma aegyptium Ticks, Algeria, Direct Submission","Department of Biology and Wildlife Diseases, 354-356 (2016), Brno 612 42, Czech Republic, Emerging Infect. Dis. 22 (2), Palackeho trida 1/3, University of Veterinary and Pharmaceutical Sciences Brno",26812469.0,"2015, 2016","KT599097.1, KT599098.1",Orthonairovirus haemorrhagiae (2),29-M (2),Hyalomma aegyptium (2),Algeria: Aflou (2),05-J (2),"nucleocapsid protein (1), nan (1)","313 (1), 362 (1)","103 (1), 0 (1)",75%-90% (1)
200,"Al hosani F., Al hosani M., Alhammadi Z., Almuhairi S., Alyammahi S., Bergeron E., Gasim E., Gerber S., Hosani F., Hussein N., Ibrahim I., Ishag H., Khalafalla A., Li Y., Tao Y., Tong S., Uehara A., Yusof M., Zhang J.","Direct Submission, Identification of a novel lineage of Crimean-Congo haemorrhagic fever virus in dromedary camels, United Arab Emirates","Division of Viral Diseases, 1600 Clifton Rd, Atlanta, Centers for Disease Control and Prevention, GA 30333, J Gen Virol (2020) In press, USA",33231536.0,2020,"MN901925.1, MN901926.1, MN901927.1",Camel Crimean-Congo hemorrhagic fever orthonairovirus (3),30-N (3),camel (3),United Arab Emirates (3),2015 (3),"nucleoprotein (1), glycoprotein precursor (1), RNA-dependent RNA polymerase (1)","1675 (1), 5328 (1), 12066 (1)","482 (1), 1666 (1), 3945 (1)","50%-75% (1), 95%-100% (2)"
201,"Czub M., Feldmann H., Flick R., Grolla A., Kinsella E., Martin S.","Direct Submission, Sequence determination of the Crimean-Congo hemorrhagic fever virus L segment","Special Pathogens, 1015 Arlington Street, 23-28 (2004), Canada, Canadian Science Center for Human and Animal Health, MB R3E 3R2, Virology 321 (1), Winnipeg",15033561.0,"2003, 2004","AY389361.2, NC_005301.3",Orthonairovirus haemorrhagiae (2),"13-A (1), 21-J (1)",nan (2),nan (2),nan (2),putative polyprotein (2),12108 (2),3945 (2),95%-100% (2)
202,"Butenko A., Gmyl A., Gordeychuk I., Isaeva O., Klimentov A., Larichev V.","Direct Submission, Genetic diversity of Crimean-Congo Hemorraghic fever virus in Russia","Chumakov Institute of Poliomyelitis and Viral Encephalitides, 27 km Kievskogo shosse, Moscow 142782, Russia, Unpublished",,2016,"KX056050.1, KX056051.1, KX056052.1, KX056053.1, KX056054.1, KX056055.1, KX056056.1, KX056057.1, KX056058.1, KX056059.1, KX056060.1, KX056061.1",Orthonairovirus haemorrhagiae (12),14-M (12),Homo sapiens (12),Russia: Astrakhan (12),2012 (12),"nucleocapsid protein (4), envelope glycoprotein precursor (4), RdRp (4)","1000-3000 (4), 5000-10000 (4), >10000 (4)","1688 (4), 3945 (4), 482 (3), 470 (1)",95%-100% (12)
203,"Altimura L., Conrad T., Delp K., Garrison A., Kearney B., Koehler J., Minogue T., Rossi C., Schoepp R.","Direct Submission, Genome Sequences of eight Crimean-Congo hemorrhagic fever virus strains","DSD, 1425 Porter Street, Frederick, MD 21702, USA, USAMRIID, Unpublished",,2017,"KY484025.1, KY484026.1, KY484027.1, KY484028.1, KY484029.1, KY484030.1, KY484031.1, KY484032.1, KY484033.1, KY484034.1, KY484035.1, KY484036.1, KY484037.1, KY484038.1, KY484039.1, KY484040.1, KY484041.1, KY484042.1, KY484043.1, KY484044.1, KY484045.1, KY484046.1, KY484047.1, KY484048.1",Orthonairovirus haemorrhagiae (24),02-A (24),"Homo sapiens (9), Hyalomma marginatum (6), Hyalomma anatolicum (3), Hyalomma excavatum (3), Hyalomma truncatum (3)","Democratic Republic of the Congo (3), Uganda (3), South Africa (3), Pakistan (3), Nigeria (3), China (3), Russia (3), Senegal (3)","1956 (3), 1981 (3), 1987 (3), 1965 (3), 1996 (3), 1968 (3), 1967 (3), 1969 (3)","RNA-dependent RNA polymerase (8), glycoprotein precursor (8), nucleocapsid protein (8)","1000-3000 (8), 5000-10000 (8), >10000 (8)","100-500 (8), 1000-3000 (8), 3000-5000 (8)","50%-75% (1), 75%-90% (6), 95%-100% (17)"
204,"Acici M., Erciyas-yavuz K., Eroglu C., Hokelek M., Leblebicioglu H., Yilmaz H.","Direct Submission, Role of migratory birds in spreading Crimean-Congo hemorrhagic fever, Turkey","Medical Microbiology, 1331-1334 (2014), Atakum, Black See 55139, Emerging Infect. Dis. 20 (8), Ondokuz Mayis University Medical Faculty, Samsun, Turkey",25062428.0,"2013, 2014","KF727976.1, KF727977.1",Orthonairovirus haemorrhagiae (2),11-S (2),tick (2),Turkey (2),2010 (2),nucleoprotein (2),260 (2),87 (2),95%-100% (2)
205,"Chinikar S., Li Q., Lundkvist K., Nilsson M., Nordstrom H., Plyusnin A.","Direct Submission, Genetic characterization of the S and M segments of Crimean Congo hemorrhagic fever virus strains isolated in Iran","Centre for Microbiological Preparedness, Nobelsvag 18, Solna 171 82, Sweden, Swedish Institute for Infectious Disease Control, Unpublished",,2006,"DQ446212.1, DQ446213.1, DQ446214.1, DQ446215.1, DQ446216.1",Orthonairovirus haemorrhagiae (5),01-M (5),nan (5),Iran (5),nan (5),"nucleocapsid protein (3), envelope glycoprotein precursor (2)","1632 (2), 5360 (1), 5278 (1), 1634 (1)","482 (3), 1685 (2)","75%-90% (2), 95%-100% (3)"
206,"Al hammadi Z., Al hosani F., Al muhairi S., Eltahir Y., Gerber S., Hall A., Khalafalla A., Li Y., Paden C., Queen K., Tao Y., Tong S., Yusof M.","Direct Submission, Identification of diverse viruses in upper respiratory samples in dromedary camels from United Arab Emirates","Division of Viral Diseases, 1600 Clifton Rd, Atlanta, Centers for Disease Control and Prevention, GA 30333, USA, Unpublished",,2017,MF593474.1,Orthonairovirus haemorrhagiae (1),10-O (1),camel (1),United Arab Emirates (1),2015 (1),RNA-dependent RNA polymerase (1),531 (1),175 (1),95%-100% (1)
207,"Drexler J., Dzagurova T., Gmyl A., Klimentov A., Lukashev A., Smirnova S.","Direct Submission, Phylogeography of Crimean Congo Hemorrhagic Fever Virus","Chumakov Institute of Poliomyelitis and Viral Encephalitides, 27 km Kievskogo shosse, E0166744 (2016), Moscow 142782, PLoS ONE 11 (11), Russia",27880794.0,2016,"KX013444.1, KX013445.1, KX013446.1, KX013447.1, KX013448.1, KX013449.1, KX013450.1, KX013451.1, KX013452.1, KX013453.1, KX013454.1, KX013455.1, KX013456.1, KX013457.1, KX013458.1, KX013459.1, KX013460.1, KX013461.1, KX013462.1, KX013463.1, KX013464.1, KX013465.1, KX013466.1, KX013467.1, KX013468.1, KX013469.1, KX013470.1, KX013471.1, KX013472.1, KX013473.1, KX013474.1, KX013475.1, KX013476.1, KX013477.1, KX013478.1, KX013479.1, KX013480.1, KX013481.1, KX013482.1, KX013483.1, KX013484.1, KX013485.1, KX013486.1, KX013487.1, KX013488.1",Orthonairovirus haemorrhagiae (45),07-D (45),"tick (24), Homo sapiens (18), goat (3)","Russia: Rostov (9), Russia: Stavropol (9), Russia: Astrakhan (6), Turkmenistan (6), Uganda (3), Kazakhstan (3), Nigeria (3), Uzbekistan (3), Tajikistan (3)","1968 (9), 2000 (9), 1973 (6), 1958 (3), 1984 (3), 1989 (3), 1971 (3), 1965 (3), 1967 (3), 1969 (3)","nucleocapsid protein (15), envelope glycoprotein precursor (15), RNA-dependent RNA polymerase (15)","1000-3000 (15), 5000-10000 (15), >10000 (15)","100-500 (15), 1000-3000 (15), 3000-5000 (15)","50%-75% (1), 75%-90% (6), 95%-100% (38)"
208,"Aarons E., Atkinson B., Brooks T., Dowall S., Glover S., Hewson R., Lumley S., Nijjar M., Petridou C., Simpson A., Staplehurst S.","Detection of a non-fatal case of Crimean-Congo haemorrhagic fever imported into the UK (ex Bulgaria), Direct Submission, June 2014","Research, Porton Down, Public Health England, Salisbury, UK, Unpublished, Wilts SP40JG",,2014,KM201260.1,Orthonairovirus haemorrhagiae (1),01-O (1),Homo sapiens (1),Bulgaria (1),27-J (1),nucleocapsid protein (1),1673 (1),482 (1),95%-100% (1)
209,"Antoniadis A., Hang C., Kouidou S., Ma B., Papa A., Tang Q.","China, Direct Submission, Genetic characterization of the M RNA segment of Crimean Congo hemorrhagic fever virus strains","Microbiology, 50-53 (2002), Aristotelian University of Thessaloniki, Emerging Infect. Dis. 8 (1), Greece, School of Medicine, Thessaloniki 54006",11749748.0,"2001, 2002","AF350448.1, AF350449.1",Orthonairovirus haemorrhagiae (2),05-M (2),"nan (1), Homo sapiens (1)",China (2),nan (2),envelope glycoprotein precursor (2),"5367 (1), 5368 (1)",1689 (2),75%-90% (2)
210,"Akin H., Akkutay A., Dincer E., Faraji A., Mahzounieh M., Ozkul A.","Direct Submission, Relationship between crimean-congo hemorrhagic Fever virus strains circulating in iran and Turkey: possibilities for transborder transmission","Virology Department, 782-785 (2012), Ankara, Ankara University, Faculty of Veterinary Medicine, Irfan Bastug Cad. Diskapi, None 06110, Turkey, Vector Borne Zoonotic Dis. 12 (9)",22925023.0,"2010, 2012","HM853679.1, HM853680.1, HM853681.1, HM853682.1",Orthonairovirus haemorrhagiae (4),20-S (4),sheep (4),Iran (4),2009 (4),nucleocapsid protein (4),190 (4),62 (4),95%-100% (4)
211,"Ghalyanchi langrodi A., Langeroudi A., Majidzadeh K., Morovvati A., Razmyar J., Soleimani M.","2010, Direct Submission, Iran, Molecular phylogenetic study on S-segment of Crimean-Congo Hemorrhagic Fever (CCHF) virus genome isolated from ticks in in West Azerbaiajan and Sistan and Baluchestan provinces","Tasnim Biotechnology Research Center, AJA University of Medical Science, E258 (2012), Int. J. Infect. Dis. 16, Iran, Tehran, Tehran 1411718541, West Fatemi St",,"2011, 2012","JF798866.1, JF798867.1, JF798868.1, JF798869.1",Orthonairovirus haemorrhagiae (4),07-S (4),tick (4),Iran (4),May- (4),nucleoprotein (4),222 (4),74 (4),"90%-95% (2), 95%-100% (2)"
212,"D'alessio S., Di domenico M., Di luca M., Goffredo M., Mancini G., Mancuso E., Marcacci M., Monaco F., Orsini M., Polci A., Spina F., Toma L.","Direct Submission, First detection of Crimean-Congo haemorrhagic fever virus in tick from migratory birds in Italy","Viral, Abruzzo 64100, Foreign Deseases of Animals, Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Italy, Teramo, Unpublished, Via Campo Boario",,2018,"MH576575.1, MH595794.1",Orthonairovirus haemorrhagiae (2),20-A (2),Hyalomma rufipes (2),Italy (2),21-A (2),"glycoprotein precursor (1), nucleoprotein (1)","1816 (1), 744 (1)","42 (1), 88 (1)",95%-100% (2)
213,"Antoniadis A., Marriott A., Nuttall P., Polyzoni T.","Detection of human antibodies to Crimean-Congo haemorrhagic fever virus using expressed viral nucleocapsid protein, Direct Submission","Anthony C. Marriott, 2157-2161 (1994), J. Gen. Virol. 75 (Pt 9), Mansfield Road, N.E.R.C. Institute of Virology and Environmental Microbiology, OX1 3SR, Oxford, UK",8077915.0,1994,U04958.1,Orthonairovirus haemorrhagiae (1),08-O (1),nan (1),nan (1),nan (1),nucleoprotein (1),1659 (1),482 (1),90%-95% (1)
214,"Berthet F., Marriott A., Nuttall P., Zeller H.","Direct Submission, Genetic variation in the nucleoprotein gene of Crimean-Congo haemorrhagic fever virus","Marriott A.C., Mansfield Road, NERC Institute of Virology & Environmental Microbiology, OX1 3SR, Oxford, United Kingdom, Unpublished",,1994,"U15020.1, U15021.1, U15022.1, U15023.1, U15024.1, U15089.1, U15090.1, U15091.1, U15092.1, U15093.1",Orthonairovirus haemorrhagiae (10),"31-M (8), 01-A (2)",nan (10),nan (10),nan (10),nucleoprotein (10),499 (10),166 (10),"90%-95% (6), 95%-100% (4)"
215,"Hazlett L., Meissner J., Nichol S., Sato S., St. jeor S.","Crimean Congo Hemorrhagic Fever Virus S segment sequence, Direct Submission, strain Matin","Microbiology, MS200/FA310, NV 89557, Reno, USA, University of Nevada, Unpublished",,2002,AF527810.1,Orthonairovirus haemorrhagiae (1),11-A (1),nan (1),nan (1),nan (1),nucleocapsid protein (1),1671 (1),482 (1),95%-100% (1)
216,"Meissner J., Netesov S., Petrov V., Seregin S., Vyshemirski O., Vyshemirskii O., Yakimenko N.","Direct Submission, The complete genomic sequence of strain ROS/HUVLV-100, a representative Russian Crimean Congo hemorrhagic fever virus strain","Laboratory of Virology, 87-93 (2006), Koltsovo, Novosibirsk 630559, Russia, SRC VB 'Vector', Virus Genes 33 (1)",16791423.0,"2005, 2006","DQ206447.1, DQ206448.1",Orthonairovirus haemorrhagiae (2),23-J (2),Homo sapiens (2),Russia: Rostov region (2),2002 (2),"envelope glycoprotein (1), nucleocapsid (1)","5364 (1), 1673 (1)","1688 (1), 482 (1)",95%-100% (2)
217,"Lvov D., Meissner J., Netesov S., Petrov V., Samokhvalov E., Seregin S., Vyshemirskii O.","A variable region in the Crimean-Congo hemorrhagic fever virus L segment distinguishes between strains isolated from different geographic regions, Direct Submission","State Research Center for Virology and Biotechnology 'Vector', 223-228 (2006), J. Med. Virol. 78 (2), Koltsovo, Novosibirsk Region 630559, Russian Federation",16372290.0,"2005, 2006","AY995158.2, AY995159.2, AY995160.2, AY995161.2, AY995162.2, AY995163.2, AY995164.2, AY995165.2, AY995166.2, AY995167.2, AY995168.2, AY995169.2, AY995170.2, DQ206449.1",Orthonairovirus haemorrhagiae (14),26-J (14),nan (14),"Russia (8), Tajikistan (2), Russia: Astrakhan Region (1), Bulgaria (1), Turkmenistan (1), Uzbekistan (1)","2000 (4), 2001 (3), 1991 (2), 1976 (1), 1984 (1), 1985 (1), 1990 (1), 2003 (1)",RNA-dependent RNA polymerase (14),"1057 (13), 12111 (1)","352 (13), 3945 (1)","90%-95% (4), 95%-100% (10)"
218,"Meissner J., Netesov S., Petrov V., Seregin S., Vyshemirski O., Vyshemirskii O., Yakimenko N.","Complete L segment coding-region sequences of Crimean Congo hemorrhagic fever virus strains from the Russian Federation and Tajikistan, Direct Submission","Laboratory of Virology, 465-475 (2006), Arch. Virol. 151 (3), Koltsovo, Novosibirsk 630559, Russia, State Research Center of Virology and Biotechnology 'VECTOR'",16195783.0,"2004, 2006","AY675240.2, AY720893.2",Orthonairovirus haemorrhagiae (2),24-F (2),"nan (1), tick (1)","Tajikistan (1), Russia: Astrakhan region (1)",nan (2),RNA-dependent RNA polymerase (2),"12133 (1), 12112 (1)",3945 (2),95%-100% (2)
219,"Benzanona N., Ergin S., Gargili A., Midilli K.","Direct Submission, Second natural human infection caused by an AP92-like CCHF virus strain","Microbiology and Clinical Microbiology, Cerrahpasa, Cerrahpasa Medical Faculty of Istanbul University, Fatih - Istanbul 34303, Turkey, Unpublished",,2008,FJ392604.1,Orthonairovirus haemorrhagiae (1),26-J (1),Homo sapiens (1),Turkey (1),May- (1),structural capsid protein (1),447 (1),149 (1),75%-90% (1)
220,"Altas K., Bakar M., Elevli M., Ergin S., Ergonul O., Gargili A., Midilli K., Ozturk R., Sengoz G., Turan N.","Direct Submission, The first clinical case due to AP92 like strain of Crimean-Congo Hemorrhagic Fever virus and a field survey","Microbiology and Clinical Microbiology, 90 (2009), BMC Infect. Dis. 9, Cerrahpasa Medical Fakulty of Istanbul University, Fatih - Istanbul 34303, Temel Bilimler Binasi, Turkey",19515251.0,"2007, 2009",EU057975.1,Orthonairovirus haemorrhagiae (1),26-J (1),nan (1),Turkey (1),nan (1),structural capsid protein (1),440 (1),146 (1),75%-90% (1)
221,"Ergin S., Gargili A., Midilli K., Vatansever Z.","Detection and molecular analysis of Crimean-Congo hemorrhagic fever virus from ticks collected from European part of Turkey (Thrace), Direct Submission","Microbiology and Clinical Microbiology, Cerrahpasa, Cerrahpasa Medical Faculty of Istanbul University, Fatih, Istanbul 34303, Turkey, Unpublished",,2008,EU523593.1,Orthonairovirus haemorrhagiae (1),26-J (1),Hyalomma marginatum marginatum (1),Turkey (1),Jun- (1),structural capsid protein (1),165 (1),55 (1),95%-100% (1)
